[DISPLAY]
VER=244
TYPE=1
DATALEN=2
XPARAM=0
YPARAM=1
XRANGE=8191
YRANGE=0
NAME=C:\Dokumente, und, Einstellungen\Praktikum\Desktop\ELyas\right_Na_2.csv
XTITLE=x
YTITLE=y

[DATA]
1203, 0, 80
1204, 0, 94
1205, 0, 103
1206, 0, 90
1207, 0, 79
1208, 0, 91
1209, 0, 77
1210, 0, 83
1211, 0, 88
1212, 0, 66
1213, 0, 80
1214, 0, 71
1215, 0, 105
1216, 0, 86
1217, 0, 86
1218, 0, 77
1219, 0, 99
1220, 0, 92
1221, 0, 78
1222, 0, 85
1223, 0, 68
1224, 0, 84
1225, 0, 69
1226, 0, 93
1227, 0, 80
1228, 0, 88
1229, 0, 79
1230, 0, 85
1231, 0, 93
1232, 0, 82
1233, 0, 98
1234, 0, 93
1235, 0, 82
1236, 0, 92
1237, 0, 69
1238, 0, 78
1239, 0, 69
1240, 0, 86
1241, 0, 77
1242, 0, 72
1243, 0, 88
1244, 0, 77
1245, 0, 95
1246, 0, 85
1247, 0, 85
1248, 0, 101
1249, 0, 79
1250, 0, 71
1251, 0, 91
1252, 0, 85
1253, 0, 86
1254, 0, 100
1255, 0, 81
1256, 0, 87
1257, 0, 63
1258, 0, 95
1259, 0, 67
1260, 0, 92
1261, 0, 80
1262, 0, 92
1263, 0, 86
1264, 0, 91
1265, 0, 93
1266, 0, 60
1267, 0, 74
1268, 0, 76
1269, 0, 91
1270, 0, 95
1271, 0, 89
1272, 0, 90
1273, 0, 90
1274, 0, 70
1275, 0, 73
1276, 0, 94
1277, 0, 81
1278, 0, 87
1279, 0, 90
1280, 0, 112
1281, 0, 73
1282, 0, 84
1283, 0, 95
1284, 0, 86
1285, 0, 81
1286, 0, 89
1287, 0, 91
1288, 0, 97
1289, 0, 94
1290, 0, 77
1291, 0, 72
1292, 0, 79
1293, 0, 68
1294, 0, 74
1295, 0, 87
1296, 0, 67
1297, 0, 76
1298, 0, 90
1299, 0, 90
1300, 0, 90
1301, 0, 89
1302, 0, 81
1303, 0, 82
1304, 0, 67
1305, 0, 77
1306, 0, 93
1307, 0, 90
1308, 0, 90
1309, 0, 93
1310, 0, 97
1311, 0, 95
1312, 0, 84
1313, 0, 87
1314, 0, 76
1315, 0, 99
1316, 0, 77
1317, 0, 72
1318, 0, 79
1319, 0, 83
1320, 0, 99
1321, 0, 88
1322, 0, 79
1323, 0, 84
1324, 0, 84
1325, 0, 88
1326, 0, 67
1327, 0, 69
1328, 0, 80
1329, 0, 89
1330, 0, 99
1331, 0, 84
1332, 0, 84
1333, 0, 80
1334, 0, 87
1335, 0, 78
1336, 0, 82
1337, 0, 94
1338, 0, 90
1339, 0, 94
1340, 0, 85
1341, 0, 93
1342, 0, 71
1343, 0, 92
1344, 0, 88
1345, 0, 84
1346, 0, 85
1347, 0, 76
1348, 0, 104
1349, 0, 81
1350, 0, 78
1351, 0, 73
1352, 0, 100
1353, 0, 85
1354, 0, 89
1355, 0, 98
1356, 0, 97
1357, 0, 103
1358, 0, 102
1359, 0, 86
1360, 0, 82
1361, 0, 101
1362, 0, 90
1363, 0, 89
1364, 0, 83
1365, 0, 80
1366, 0, 95
1367, 0, 102
1368, 0, 90
1369, 0, 71
1370, 0, 69
1371, 0, 78
1372, 0, 73
1373, 0, 94
1374, 0, 90
1375, 0, 91
1376, 0, 79
1377, 0, 88
1378, 0, 105
1379, 0, 83
1380, 0, 103
1381, 0, 85
1382, 0, 106
1383, 0, 78
1384, 0, 88
1385, 0, 93
1386, 0, 72
1387, 0, 89
1388, 0, 87
1389, 0, 73
1390, 0, 80
1391, 0, 85
1392, 0, 87
1393, 0, 93
1394, 0, 76
1395, 0, 93
1396, 0, 89
1397, 0, 80
1398, 0, 73
1399, 0, 96
1400, 0, 90
1401, 0, 82
1402, 0, 92
1403, 0, 77
1404, 0, 85
1405, 0, 70
1406, 0, 81
1407, 0, 80
1408, 0, 78
1409, 0, 79
1410, 0, 81
1411, 0, 70
1412, 0, 75
1413, 0, 72
1414, 0, 83
1415, 0, 92
1416, 0, 71
1417, 0, 91
1418, 0, 75
1419, 0, 80
1420, 0, 99
1421, 0, 91
1422, 0, 73
1423, 0, 81
1424, 0, 87
1425, 0, 73
1426, 0, 83
1427, 0, 76
1428, 0, 92
1429, 0, 75
1430, 0, 100
1431, 0, 71
1432, 0, 79
1433, 0, 79
1434, 0, 88
1435, 0, 92
1436, 0, 84
1437, 0, 100
1438, 0, 89
1439, 0, 81
1440, 0, 77
1441, 0, 89
1442, 0, 87
1443, 0, 95
1444, 0, 86
1445, 0, 80
1446, 0, 92
1447, 0, 83
1448, 0, 82
1449, 0, 91
1450, 0, 69
1451, 0, 78
1452, 0, 75
1453, 0, 86
1454, 0, 69
1455, 0, 70
1456, 0, 74
1457, 0, 93
1458, 0, 95
1459, 0, 90
1460, 0, 89
1461, 0, 88
1462, 0, 79
1463, 0, 82
1464, 0, 78
1465, 0, 93
1466, 0, 94
1467, 0, 76
1468, 0, 96
1469, 0, 92
1470, 0, 72
1471, 0, 76
1472, 0, 60
1473, 0, 89
1474, 0, 76
1475, 0, 86
1476, 0, 75
1477, 0, 81
1478, 0, 74
1479, 0, 87
1480, 0, 95
1481, 0, 94
1482, 0, 82
1483, 0, 84
1484, 0, 96
1485, 0, 103
1486, 0, 75
1487, 0, 85
1488, 0, 67
1489, 0, 77
1490, 0, 73
1491, 0, 89
1492, 0, 81
1493, 0, 100
1494, 0, 88
1495, 0, 91
1496, 0, 75
1497, 0, 101
1498, 0, 86
1499, 0, 68
1500, 0, 83
1501, 0, 65
1502, 0, 75
1503, 0, 101
1504, 0, 94
1505, 0, 83
1506, 0, 77
1507, 0, 86
1508, 0, 85
1509, 0, 88
1510, 0, 70
1511, 0, 79
1512, 0, 80
1513, 0, 98
1514, 0, 88
1515, 0, 96
1516, 0, 86
1517, 0, 79
1518, 0, 90
1519, 0, 82
1520, 0, 78
1521, 0, 74
1522, 0, 90
1523, 0, 79
1524, 0, 76
1525, 0, 79
1526, 0, 67
1527, 0, 86
1528, 0, 90
1529, 0, 84
1530, 0, 84
1531, 0, 91
1532, 0, 74
1533, 0, 91
1534, 0, 88
1535, 0, 80
1536, 0, 89
1537, 0, 80
1538, 0, 75
1539, 0, 75
1540, 0, 82
1541, 0, 83
1542, 0, 92
1543, 0, 80
1544, 0, 76
1545, 0, 80
1546, 0, 93
1547, 0, 75
1548, 0, 71
1549, 0, 82
1550, 0, 87
1551, 0, 83
1552, 0, 85
1553, 0, 94
1554, 0, 83
1555, 0, 80
1556, 0, 81
1557, 0, 69
1558, 0, 77
1559, 0, 91
1560, 0, 82
1561, 0, 93
1562, 0, 97
1563, 0, 87
1564, 0, 81
1565, 0, 95
1566, 0, 86
1567, 0, 69
1568, 0, 89
1569, 0, 85
1570, 0, 96
1571, 0, 77
1572, 0, 80
1573, 0, 82
1574, 0, 95
1575, 0, 87
1576, 0, 81
1577, 0, 101
1578, 0, 67
1579, 0, 77
1580, 0, 72
1581, 0, 79
1582, 0, 88
1583, 0, 87
1584, 0, 85
1585, 0, 86
1586, 0, 89
1587, 0, 95
1588, 0, 86
1589, 0, 80
1590, 0, 96
1591, 0, 80
1592, 0, 96
1593, 0, 77
1594, 0, 93
1595, 0, 83
1596, 0, 82
1597, 0, 71
